user_id,recipe_id,date,rating,review
5060,30081,2005-03-18,2,"Well I'm really sorry but we found these absolutley without taste! They were very dry hamberger and couln't taste the garlic or onion powder, perhaps we're used to fresh garlic and onions.  We also found the sauce very mild and too sweet. Quite disappointing after reading all the rave reviews, sorry but we would'nt make these again."
39835,30081,2005-08-26,3,"These were good for sandwich night, but I found the hamburgers  a bit dry and hard to slice, but I may have left them in the broiler too long. I also bought the wrong kind of pitas - bought Greek pita bread instead of the other kind, so we just added everything on the pita and rolled them up like burritoes -- good and fillling. I also found the dressing a bit too different for our tastes - maybe next time I'll try it with sour cream instead of yogurt. These were good for a change of pace, but I think we'll go back to traditional hamburgers.  Thanks for sharing!"
158086,30081,2006-08-23,5,This was very easy and tasted wonderful...my better half ate all the patties and declared it a winner in his book.
53932,30081,2006-09-08,4,"I used ground turkey and thought the spices were just right (except the salt, which I think was a bit much so next time will add it after cooking).  "
176615,30081,2008-06-06,5,"Great recipe! Superfast and easy, the whole family enjoyed them. Wrapped some flatbread in foil and heated on the grill while the meat was cooking. Will make again. Thanks for sharing the recipe!"
140132,30081,2010-01-16,5,We all loved these.  I will makethis often this summer.  Its a great way to enjoy burgers tahts different from the ordinary burgers on a bun.  thank you for sharing.
126440,30081,2012-06-30,5,Loved it! Used Recipe #79388 for the pita.
1072593,30081,2015-05-09,5,"I love the challenge of a new recipe...staying busy, plotting and planning.
It makes me forget that I&#039;m growing older.  Speaking of older, where was I...ohhh the gyro...this one&#039;s a real keeper!"
8688,26110,2003-03-06,5,"Excellent recipe for delicious and fabulous results! Buttery flavor, light and flaky, these biscuits will be a hit at your next breakfast, fried chicken or ham supper!  Very simple recipe and easy to follow directions. Thank you for sharing this recipe with us!"
5060,26110,2003-03-11,5,"Wonderful wonderful!! butermilk biscuits!!  i think in the past I was handling them too much. What a difference, light flakey and tender, and easy because of your instruction.  Soooo nice of you to give the lesson. Thank-you and I will certainly be making these again!!"
39835,26110,2003-10-31,4,"Good biscuits which we enjoyed  but they didn't rise much, however I did decrease the baking powder to 2 teaspoons (I usually decrease baking powder and soda due to high altitude) and next time I will use the specified amount. However these were super easy using the food processor and we will be making these again. Thanks for sharing!"
95743,26110,2004-10-20,5,"So good, Dh has hidden the leftovers so he can have ALL of them for his breakfast tomorrow. Darn."
176615,26110,2005-05-26,5,"Wonderful biscuits! What really sets this recipe apart are the detailed directions and very easy prep using a food processor. Served with homemade blackberry jam and honey butter, also eggs, bacon and grits for a real treat. Thanks, P4, for a keeper!"
128473,26110,2007-02-05,5,"These are by far the best buttermilk biscuits that I have tried on Zarr so far.  Wow! they are so tender that they melt in your mouth. The biscuits are light and airy,  rose nice and big, were crispy on the outside and tender and soft on the inside. I served the warm biscuits with Bev's Orange Honey Butter. I'm still in heaven, was it breakfast or dessert, I'm not sure, but I'll definitely be using the rest of the biscuits tonight for our strawberry shortcake. P4, thanks so much for sharing your quick and easy to make recipe."
461834,26110,2007-03-19,5,"WOW!!!Thank you P4 for this recipe!!!  Using the food processor made such a difference and, needless to say, cut way back on the time needed to make biscuits.  These tasted fantastic."
173579,26110,2008-01-16,5,Very nice biscuits.  Thanks for posting.
126440,26110,2009-03-30,5,Great biscuits.  I haven't made biscuits in a long time.  I used my food processor and was very easy to make.  Flavor is great and DH keeps eating the rest of them for a snack.  I only got eight but used my Eng. muffin cutter so they were a little bigger.
1072593,26110,2009-04-06,5,You have no idea how many biscuit recipes I've tried resulting from pure disaster to mediocre.  These were moist and buttery yet light in texture.  Technique is half the success of the recipe and I think I've got it with your clear instructions.  Two thumbs up from all family members.
140132,26110,2010-01-06,4,"Wow, these are so good.  I have tried to make biscuits before and they turned out more like hockey pucks instead of something edible.  I was a little leary about trying these but decieded I needed to try.  I am so glad I did.  Your instructions were very clear and precise.  Thank you for posting this recipe, I, for one, and very very happy."
171790,26110,2010-03-13,5,"I made these to go with last night's dinner. They were great, tender and light! Made for Top Favorites of 2009 Cookbook Tag."
428885,26110,2011-03-30,5,"Have to say, I'm with the masses on this one! I followed this exactly, except used lard in place of the butter, and talk about flaky.....you couldn't ask for more then this. These were perfect, the directions very concise, pushing lightly down on the dough instead of using rolling pin, all the advice makes a perfect biscuit. Very light and fluffy~ a must try for any and all!"
1179225,26110,2011-12-10,5,"Perfection! This is one of those recipes you save and use forever. We have no need to try another biscuit recipe. DH made these and followed your recipe on down the line. They came out light, fluffy, tasty and tall! We seved them with sausage gravy for a heavenly Saturday morning breakfat. Thanks so much for sharing this amazing recipe!"
169969,3470,2004-12-22,5,Very easy and Very Tasty! We thought it was really good...and we are not too fond of recipies with canned soup. I did use the low sodium soup as this tends to cut down on the salty taste that the condensed soup adds to dishes. Thank you for an easy meal!!! 
482376,3470,2007-10-04,5,"Delish! It was very easy to put together and the outcome was pure comfort. Nothing fancy, just that good ol' comfort food taste. I used provolone cheese, since I don't care for swiss. It was great. Thanks!"
140132,3470,2007-12-30,5,Very good.  I served this with mashed potatoes and cranberries.  Delicious meal.  I cooked on low for 6 hours and it was done perfectly.  Thanks for a really good chicken dinner....Stephanie
158086,3470,2008-11-04,5,"We really enjoyed this recipe...I have not been feeling so good, and have had not much of an appetite, this was a good thing to make and tasted wonderful...I too did not have any swiss cheese so subbed with morzerella and provolone blend."
173579,3470,2011-03-11,5,We thought this was a very good Chicken and Dressing.  Only thing I would suggest is one might use the lower sodium soups.  It tends to be a little salty tasting.  Will make again soon.  Thanks for posting this recipe.
39835,37413,2003-10-31,5,"Very good way to have burgers!  We served this with Southern Buttermilk Biscuits recipe#26110 and corn for a great ""comfort"" meal. Thanks for sharing this keeper middle-of-the-week quick supper recipe."
101823,37413,2003-11-05,5,"My husband prepared this tonight!  It was a definate treat to have a home-style meal and not to have to cook it!  He subbed beef broth for the water in the gravy, but otherwise followed the recipe exactly.  It was hearty and definately flavored well.  He served it with egg noodles and a salad.  We will be adding this to our easy home cooking file!"
157425,37413,2005-03-13,3,"The gravy was a bit salty for our taste. Added a can of beef gravy and that helped. I used ground round and the patties were a bit bland. Not a great recipe for us, sorry."
169969,37413,2005-04-08,5,"This was so easy to make and DH gobbled it up. We are a bit salt sensitive so we did not use all the Onion Soup mix. I really liked the way the meat tasted....
Great meal to make in a pinch! Thank you for posting!"
280271,37413,2006-10-01,5,"Papergoddess, I really don't think you need another 5 stars. But you are getting it anyway! I was running late for work so took out a pound of ground beef. Ran to zaar to figure out what to fix when I got home. Gave DH two choice's. He said ""Beef patties with gravy sounds like comfort food, can I have that?"" I think he  made an excellent choice. He was like a contented cat and purred the rest of the night. Thanks, for posting."
140132,37413,2007-04-15,5,Comfort food at its best.  This was very good.  I love comfort foods and DH could eat every meal like this....lol.  I will be making this again as it is not only tasty but simple too.  I served this with mashed potatoes and corn.  Thank you so much....Stephanie
369715,37413,2007-12-15,5,These were really good and easy to make. My whole family loved the taste of these. I doubled the recipe but only added 2 cups of water in the gravy. I didn't need to the flour because the gravy thicken up nicely. Followed the rest of the recipe as written. Will be making this more often.
173579,37413,2013-03-30,5,This is a very good recipe and so easy to fix.  It is great served with mashed potatoes. Thanks for posting.
4470,1356,2009-04-17,5,"Very tasty recipe.  I did add 1 tsp of hot sauce (I do like spice).
 I cut the peppers long ways - they cook faster and I  did not pre cook them.  25 minutes in 375 oven and they were perfect - still had some crunch to the peppers and totally hot through. Used Lite Havarti cheese.  Thanks for a very enjoyable recipe"
527607,1356,2009-10-28,5,"Add mine to the rave reviews of this.  I have never had such wonderful stuffed peppers, just as they should be but to often aren't.  Not only the flavors, they can be changed as people like but the technique."
140132,1356,2010-11-23,5,"These were very good.  I had some large green peppers and knew I was going to make stuffed peppers with them.  I chose your recipe and am very glad I did.  I doubled the meat ingredients, filled the 6 (very large) peppers and put the remaining mixture in a casserole.  We loved these.  The peppers were nice and thouroughly cooked.  Thank you for sharing we will use this recipe again."
166642,66241,2008-04-05,5,I made these for breakfast this morning and they turned out wonderful! They were so light and fluffy and flavorful. Thanks for sharing!
107135,66241,2006-07-10,5, great recipe .dee
169969,66241,2006-08-09,5,I originally made this recipe for Zaar World Tour 2006 and loved it! I have since made the recipe a number of times. I have decided that what I like best about this recipe is that the pancakes do not have an overwhelming flour taste like some recipes I have had in the past. The pancakes are light and fluffy and are good enough to be eaten without butter or syrup (although who in their right mind would do that!). Soooâ€¦.. Stack â€˜em high!!!  This recipe is great!
173579,66241,2006-11-01,5,These were just wonderful.  The texture was just perfect!  Best I have ever made.  Will be making these many more times.  Thank you so much for posting this recipe.
37449,66241,2008-04-08,5,I made these for my DH for breakfast and he really liked them! I had a little taste and love the flavor! Thanks Nimz!
461834,66241,2007-10-28,5,"This were delicious!!  Made them for today's Sunday breakfast along with sausage and eggs.  The texture is great and the consistency is right, in that it is not too thick or thin.  I started out cooking them at 350 on griddle but had to up it to about 375, probably just my old griddle.
Made for potluck tag!!!  Thanks Nimz for another great recipe!!"
8688,66241,2008-01-20,5,"It's no wonder these delicious pancakes have so many 5 star reviews!  They are wonderful! Light, Fluffy and Flavorful!  I did not add the entire amount of flour (used approximately 1 1/2 - 1 3/4 cups) because we like our pancakes thinner than most recipes. I also prepared this recipe in my blender .  I find it is easier to pour the batter from the blender container when making pancakes or waffles. Other than that, I served with a side of crisp bacon, pure Canadian Maple syrup and blueberry syrup.  Thanks for the wonderful breakfast, Nimz!"
383346,66241,2008-03-01,5,The only change I made was to use vegetable oil instead of butter.  And I omitted the salt.  These pancakes are delicious.  Thanks Nimz :)  Made for Zaar Star Game.
140132,66241,2008-08-04,5,"Wow, these are hands down the best homemade pancakes I've had.  I've tried pancakes from scratch, only to not like the taste.  These are delicious.  Thank you for posting."
386585,66241,2008-08-18,5,Delish!!  Super easy and super tasty.  I'm thinking that you probably don't even need the vanilla extract and they would be good enough on their own.  Thanks for posting!
226863,66241,2008-11-02,5,Fantastic!  Made for Football Tag Game.  I'm so glad I lost so I got to make this great tasting pancake recipe.  These are the lightest and fluffiest pancakes I've ever eaten.  Thanks for posting!
176615,66241,2009-01-18,5,"Excellent pancakes! Fluffy, light  and just the right thickness. Used a Calphalon griddle pan, so no oil was needed to cook. Thanks for sharing the recipe!"
573325,66241,2009-02-08,5,"OUTSTANDING Pancake recipe! I've never had a batter that easy to work with. This is so super easy to put together and tastes great! I really love the fluffy texture of these pancakes and their sweet but not overly sweet taste. I think this will be my favourite pancake recipe from now on. Thank you so much for sharing, Nimz!"
452940,66241,2009-04-01,5,"Great buttermilk pancake recipe! I quartered the recipe and got 3 large pancakes. The only con here is that the ingredients are not listed in the order used. Thanks for sharing this light, fluffy, and tasty pancake recipe. :)"
197023,66241,2009-08-21,5,"A fabulously delicious and very easy to prepare pancake recipe. We enjoyed ours with raspberries and generous dollops of creamy Greek yoghurt. As reviewer 129, I add my accolades - and those of my guests who wanted the recipe - to those of earlier reviewers! :) What more is there to say? Except: I'll certainly be making these again.  Made for Zaar Stars Tag."
527607,66241,2009-10-14,5,"wonderrful pancakes, made them for thanksgiving brekkie, easy and delicious"
126440,66241,2011-06-26,5,"Wonderful pancakes!  I had a bit too much oil in my pan and they were crispy on the outside but fluffy on the inside.  Great with butter, syrup and sausage."
424680,66241,2011-07-12,5,"Easy to make, & a delight to devour, which we did! Absolutely some of the best buttermilk pancakes I've ever had, & my mom used to make some great ones! Served this time around with some pure maple syrup ~ Couldn't be better! Thanks for posting the recipe! [Made & reviewed as a THANK YOU for playing with us in Please Review My Recipe during the recent tour]"
542159,66241,2011-09-04,5,"Wonderful way to start the day! I cut the recipe in half and still got 6 big fat pancakes that were served with some homemade jam. We will definitely be enjoying these again, thanks for the post."
